2,2,2,0,0,1.48707
2,2,2,2,0,1.4952
2,2,2,1,0,1.49675
2,2,1,0,0,1.50132
2,2,0,0,0,1.50161
2,2,1,1,0,1.50792
2,2,0,1,0,1.50899
2,2,1,2,0,1.53028
1,2,1,1,0,1.5473
2,2,0,2,0,1.56133
1,1,0,0,0,1.64391
1,2,2,2,0,1.65955
1,2,1,2,0,1.66406
0,2,2,2,0,1.69046
0,2,0,2,0,1.69656
0,2,1,1,0,1.69967
1,2,0,1,0,1.70601
2,1,0,2,0,1.71301
1,2,2,1,0,1.7222
0,2,2,0,0,1.72637
0,2,1,0,0,1.73539
0,2,0,0,0,1.73635
0,2,1,2,0,1.73717
1,2,2,0,0,1.75105
1,2,1,0,0,1.76056
1,2,0,0,0,1.76126
1,2,0,2,0,1.77208
0,2,2,1,0,1.77736
2,1,2,2,0,1.78684
1,1,0,2,0,1.78783
2,1,2,0,0,1.79234
0,2,0,1,0,1.7924
2,1,0,0,0,1.79872
2,1,1,0,0,1.81695
2,1,2,1,0,1.82063
2,1,1,2,0,1.82973
2,1,1,1,0,1.84861
2,1,0,1,0,1.84863
0,0,2,0,0,1.85016
1,1,1,1,0,1.85412
0,0,1,0,0,1.86173
0,1,2,0,0,1.86414
0,0,0,0,0,1.86513
0,1,0,0,0,1.87087
2,0,1,2,0,1.88448
1,1,2,0,0,1.89281
2,0,2,2,0,1.89646
0,1,0,1,0,1.90127
2,0,2,1,0,1.9028
2,0,2,0,0,1.90363
0,1,2,1,0,1.90454
0,0,2,1,0,1.90813
2,0,1,1,0,1.91961
0,0,1,1,0,1.92125
1,0,2,0,0,1.92203
0,0,0,1,0,1.92273
2,0,0,1,0,1.92371
2,0,1,0,0,1.92598
2,0,0,0,0,1.92674
1,0,0,0,0,1.93521
1,0,1,0,0,1.9357
2,0,0,2,0,1.93785
1,1,2,2,0,1.94178
0,0,2,2,0,1.94482
0,1,2,2,0,1.97241
1,0,2,1,0,1.97865
1,0,2,2,0,1.9848
1,1,2,1,0,1.98506
0,1,1,2,0,1.98801
1,0,1,1,0,1.98819
1,0,0,1,0,1.98895
1,1,1,2,0,1.99244
1,1,0,1,0,1.9955
1,0,0,2,0,2.00047
1,0,1,2,0,2.00054
0,0,1,2,0,2.01607
0,0,0,2,0,2.02046
0,1,0,2,0,2.02061
0,1,1,0,0,2.05184
0,1,1,1,0,2.05496
1,1,1,0,0,2.11992
